Month,Negative Fianna Fail,Negative Fine Gael,Negative Sinn Fein,Neutral Fianna Fail,Neutral Fine Gael,Neutral Sinn Fein,Positive Fianna Fail,Positive Fine Gael,Positive Sinn Fein
2020-01,0.497830618548995,0.5022213318413694,0.3407515125940196,0.40417446901735204,0.38975941209236575,0.4565453021723895,0.09799491832158165,0.10801925210814385,0.20270318543850294
2020-02,0.39397866975074675,0.43021395662600814,0.31656547634473814,0.4902845820955311,0.43288872699307296,0.45918333314679516,0.11573672866992028,0.13689730448788187,0.22425118403710945
2020-03,0.43663291375224406,0.5763079322835741,0.3737079878965539,0.4888377653864714,0.3266842950057859,0.43677847627341077,0.07452931602557114,0.09700778601109045,0.18951352841346364
2020-04,0.4555876095519336,0.529334682152223,0.3555121523701292,0.4338370861355649,0.362528361182879,0.46420230009682373,0.11057530710646922,0.10813696649172065,0.18028555958761433
2020-05,0.4240962213260077,0.483991642962351,0.474885642263107,0.4730650395864532,0.3740527154595563,0.4121366138756275,0.10283871639209485,0.1419556452469392,0.11297773804515597
2020-06,0.3902320351868107,0.4188889189686796,0.5229811614680112,0.47189501636254955,0.3832724227400666,0.3915860409131356,0.13787293687961255,0.1978386545257473,0.08543279468065403
2020-07,0.547127598097091,0.4252644341003022,0.5281078264279437,0.3393889728160399,0.32362341652533005,0.34615376204503384,0.11348344078111758,0.25111216527647245,0.12573840122753646
2020-08,0.5840152462312419,0.5606635971344076,0.5105607545206402,0.3531243773177266,0.3673339594621211,0.3749453826470578,0.06286039417942182,0.07200243757688435,0.11449385436866032
2020-09,0.5372944174068315,0.5017373656281396,0.4427001685206149,0.4134965608162539,0.3805057564624459,0.39790092966192075,0.049209005758166266,0.11775687626701448,0.1593988853368304
2020-10,0.5965628426435382,0.5375456499375965,0.4979362269082819,0.3427320622167615,0.365254543543066,0.36122281607240436,0.0607050917447046,0.09719980439196707,0.14084095157244622
2020-11,0.5672205104492605,0.5613554558941516,0.46889507606213626,0.3318692470955498,0.34644518592234314,0.4143828370250188,0.10091023755205024,0.09219935441164873,0.1167220800219533
2020-12,0.4834542785044477,0.5752958535283271,0.5182983013645256,0.3440900607542558,0.3176976940461567,0.3579538187837785,0.17245567105287174,0.10700645854563581,0.12374787342965061
2021-01,0.5683019984027614,0.5113262374676308,0.4295291125912357,0.37236678065813106,0.4071167008000977,0.4090725821845325,0.05933121636854076,0.08155706564762759,0.16139830586810902
2021-02,0.44123737044908384,0.5638854121789336,0.44704949644898684,0.4369888075937827,0.3760928185656667,0.39267108583201965,0.12177382644127911,0.060021761031488714,0.1602794011278698
2021-03,0.5303695377494607,0.5997198286128532,0.4865976214455631,0.4060177289481674,0.3121691920440381,0.410071437705125,0.06361273173076495,0.0881109768196835,0.10333093257285039
2021-04,0.5271738440351328,0.5354977436961506,0.5444509529662023,0.37453503836877644,0.3677616427476342,0.34425967775048716,0.0982911096361931,0.09674059560937752,0.111289358745876
2021-05,0.5184749348513913,0.5325572035236594,0.4335617305140101,0.39985795227581994,0.36441652102706334,0.42325641190813434,0.08166710008752708,0.10302626897270477,0.14318185933910665
2021-06,0.4780753920619775,0.4854846438746808,0.3826131951315952,0.37444461467454115,0.42013451825900405,0.44056477752609513,0.14747997740327953,0.09438083234571792,0.17682202958582538
2021-07,0.5601281675173797,0.5792559219708923,0.3562028336139129,0.31534244487476015,0.32339012999644223,0.41872106274323806,0.1245293923356156,0.09735394973875201,0.22507610108836418
2021-08,0.5036457556092905,0.5192049986177708,0.558860013445536,0.3619876545336511,0.3859164864140547,0.3522908467539521,0.1343665850710951,0.09487851198478518,0.08884912026439638
2021-09,0.43185060225236654,0.47939808433220604,0.3656543967515851,0.43964014820415864,0.37490194925339887,0.45379252687096594,0.12850925931707022,0.14569996109639755,0.180553065345933
2021-10,0.5094762195980078,0.4991633621528028,0.3511973388369955,0.321272335554424,0.3212100796592541,0.4059635291154357,0.16925145131780908,0.17962657002350074,0.242839130415078
2021-11,0.4692362081259489,0.5559854026262959,0.390448335531311,0.4077528632349438,0.34283603448420763,0.42406751287098116,0.12301090442472029,0.10117857207175496,0.1854841375786166
2021-12,0.5253589568038781,0.5788259160158654,0.45587473338051443,0.38617658130824567,0.34584025404630947,0.4276713971318542,0.08846444406857089,0.07533381711870714,0.11645385760989413
2022-01,0.5242780995648354,0.5272707767726388,0.43878145809341446,0.35977032884955407,0.3653873631109794,0.41567494661872645,0.11595156621187924,0.10734185261341428,0.14554359908888942
2022-02,0.48275016491700495,0.5374941773205886,0.4769886411662075,0.3807038001716137,0.38153952519025874,0.3929440718646168,0.13654604200273748,0.08096629335983269,0.1300672841413567
2022-03,0.5566726885735989,0.5412653182283975,0.4371978877710977,0.4148382246494293,0.33716641664505004,0.4223013941257719,0.028489092231861128,0.12156825587735506,0.1405007089783866
2022-04,0.45537033428748447,0.4173262614656139,0.3669272641912385,0.4084375984966755,0.4512780286573075,0.4183376083771388,0.13619207658080587,0.13139572218563905,0.21473513340408146
2022-05,0.4020100335823372,0.4147018239415798,0.3168832099781015,0.48253511674702165,0.40047533280910946,0.41952866057845506,0.11545487421099092,0.18482283753387269,0.2635881266561634
2022-06,0.4602280572916453,0.49298647793171846,0.4280892700797671,0.47416880182348764,0.39723002581276756,0.4078099939765202,0.06560311444963396,0.10978348567015556,0.16410071684254537
2022-07,0.3711143359541893,0.4833366766468518,0.39832833063582956,0.4535976409912109,0.38357413527038364,0.4430520253385915,0.17528807135919727,0.1330891985704915,0.15861964994110164
